Concept,Sku,Shoot Date,Photographer,Stylist,Offline-CC,Comments,Status
HomeBox,6299180238462,28/02/2023,Pratik,Eva,CC,,Shot
HomeBox,165281782,28/02/2023,Pratik,Eva,CC,,Shot
HomeBox,165281781,28/02/2023,Pratik,Eva,CC,,Shot
HomeBox,883314406764,28/02/2023,Neetal FL,Jane FL,CC,,Shot
HomeBox,26102812792,28/02/2023,Neetal FL,Jane FL,OFFLINE,,Shot
HomeBox,26102138243,28/02/2023,Neetal FL,Jane FL,OFFLINE,,Shot
HomeBox,165281771,28/02/2023,Pratik,Eva,CC,,Shot
HomeBox,165281770,28/02/2023,Pratik,Eva,CC,,Shot
HomeBox,165281768,28/02/2023,Pratik,Eva,CC,,Shot
HomeBox,165281780,28/02/2023,Pratik,Eva,CC,,Shot
HomeBox,165281773,28/02/2023,Pratik,Eva,CC,,Shot
HomeBox,165281772,28/02/2023,Pratik,Eva,CC,,Shot
HomeBox,6299180400975,28/02/2023,Neetal FL,Jane FL,CC,,Shot
HomeBox,6299180401002,28/02/2023,Neetal FL,Jane FL,CC,,Shot
HomeBox,6299180400852,28/02/2023,Neetal FL,Jane FL,CC,,Shot
HomeBox,6299180400913,28/02/2023,Neetal FL,Jane FL,CC,,Shot
HomeBox,6299182598694,28/02/2023,Neetal FL,Jane FL,CC,,Shot
HomeBox,8002150016506,28/02/2023,Neetal FL,Jane FL,CC,,Shot
HomeBox,6299180401033,28/02/2023,Neetal FL,Jane FL,CC,,Shot
HomeBox,6299182520343,28/02/2023,Neetal FL,Jane FL,CC,,Shot
HomeBox,6299180400821,28/02/2023,Neetal FL,Jane FL,CC,,Shot
HomeBox,6299156712514,28/02/2023,Neetal FL,Jane FL,OFFLINE,,Shot
HomeBox,6299158238173,28/02/2023,Neetal FL,Jane FL,OFFLINE,,Shot
HomeBox,883314406771,28/02/2023,Neetal FL,Jane FL,CC,,Shot
HomeBox,6299176062491,27/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299171155211,27/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299173892732,27/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299173870655,27/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299171155228,27/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299180267141,27/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,26102812808,27/02/2023,Neetal FL,Jane FL,OFFLINE FOR RETOUCHING,,Shot
HomeBox,26102812815,27/02/2023,Neetal FL,Jane FL,OFFLINE FOR RETOUCHING,,Shot
HomeBox,26102189535,27/02/2023,Neetal FL,Jane FL,OFFLINE FOR RETOUCHING,,Shot
HomeBox,165240509,27/02/2023,Neetal FL,Jane FL,OFFLINE FOR RETOUCHING,,Shot
HomeBox,26102121788,27/02/2023,Neetal FL,Jane FL,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299170876421,27/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299169317126,27/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299167822745,27/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,26102997772,27/02/2023,Neetal FL,Jane FL,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299170126809,27/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299170866170,27/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299170320115,27/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299170320108,27/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299162983366,24/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299162983373,24/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299162983359,24/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6294001013396,24/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6294001013594,24/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6299162983380,24/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,6973044353101,24/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
HomeBox,8902083001412,24/02/2023,Pratik,Eva,OFFLINE FOR RETOUCHING,,Shot
